4443  4482 I GGUFNativeStderr: tensor blk.20.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_down.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_up.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_q.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_k.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_v.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_output.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.ffn_gate.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.ffn_down.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.ffn_up.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_q.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_k.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_v.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_output.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.ffn_gate.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.ffn_down.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.22.ffn_up.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_q.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_k.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_v.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_output.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.23.ffn_gate.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.23.ffn_down.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.23.ffn_up.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_q.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_k.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_v.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_output.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.23.ffn_gate.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.23.ffn_down.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.23.ffn_up.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_q.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_k.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_v.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_output.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.24.ffn_gate.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.24.ffn_down.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.24.ffn_up.scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_q.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_k.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_v.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_output.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.24.ffn_gate.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.24.ffn_down.input_scale
09-19 20:14:58.989  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.24.ffn_up.input_scale
09-19 20:14:58.990  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_q.scale
09-19 20:14:58.990  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_k.scale
09-19 20:14:58.990  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_v.scale
09-19 20:14:58.990  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_output.scale
09-19 20:14:58.990  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.25.ffn_gate.scale
09-19 20:14:58.990  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.25.ffn_down.scale
09-19 20:14:58.990  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.25.ffn_up.scale
09-19 20:14:58.990  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_q.input_scale
09-19 20:14:58.990  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_k.input_scale
09-19 20:14:58.990  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_v.input_scale
09-19 20:14:58.990  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_output.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.25.ffn_gate.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.25.ffn_down.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.25.ffn_up.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.26.attn_q.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.26.attn_k.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.26.attn_v.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.26.attn_output.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.26.ffn_gate.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.26.ffn_down.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.26.ffn_up.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.26.attn_q.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.26.attn_k.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.26.attn_v.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.26.attn_output.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.26.ffn_gate.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.26.ffn_down.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.26.ffn_up.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.27.attn_q.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.27.attn_k.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.27.attn_v.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.27.attn_output.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.27.ffn_gate.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.27.ffn_down.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.27.ffn_up.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.27.attn_q.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.27.attn_k.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.27.attn_v.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.27.attn_output.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.27.ffn_gate.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.27.ffn_down.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.27.ffn_up.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.28.attn_q.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.28.attn_k.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.28.attn_v.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.28.attn_output.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.28.ffn_gate.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.28.ffn_down.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.28.ffn_up.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.28.attn_q.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.28.attn_k.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.28.attn_v.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.28.attn_output.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.28.ffn_gate.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.28.ffn_down.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.28.ffn_up.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.29.attn_q.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.29.attn_k.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.29.attn_v.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.29.attn_output.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.29.ffn_gate.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.29.ffn_down.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.29.ffn_up.scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.29.attn_q.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.29.attn_k.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.29.attn_v.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.29.attn_output.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.29.ffn_gate.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.29.ffn_down.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: create_tensor: loading tensor blk.29.ffn_up.input_scale
09-19 20:14:58.991  4443  4482 I GGUFNativeStderr: done_getting_tensors: tensor 'token_embd.weight' (q8_0) (and 0 others) cannot be used with preferred buffer type Vulkan_Host, using Vulkan0 instead
09-19 20:14:58.993  3794  3836 I BugleRcsEngine: Connected state: [1], networkType: [WIFI] [CONTEXT thread_id=68 ]
09-19 20:14:58.997  1186  4131 W PlatformConfigurator: Update for unknown DeviceConfig package com.google.android.gms.matchstick [CONTEXT service_id=204 ]
09-19 20:14:58.997  1186  4131 W PlatformConfigurator: daaf: No package exists for config package: com.google.android.gms.matchstick
09-19 20:14:58.997  1186  4131 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.b(:com.google.android.gms@242335041@24.23.35 (190800-646585959):233)
09-19 20:14:58.997  1186  4131 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.a(:com.google.android.gms@242335041@24.23.35 (190800-646585959):29)
09-19 20:14:58.997  1186  4131 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):207)
09-19 20:14:58.997  1186  4131 W PlatformConfigurator: 	at com.google.android.chimera.IntentOperation.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):2)
09-19 20:14:58.997  1186  4131 W PlatformConfigurator: 	at ajom.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):8)
09-19 20:14:58.997  1186  4131 W PlatformConfigurator: 	at pkf.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):70)
09-19 20:14:58.997  1186  4131 W PlatformConfigurator: 	at pke.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):152)
09-19 20:14:58.997  1186  4131 W PlatformConfigurator: 	at emsz.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):21)
09-19 20:14:58.997  1186  4131 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
09-19 20:14:58.997  1186  4131 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:644)
09-19 20:14:58.997  1186  4131 W PlatformConfigurator: 	at java.lang.Thread.run(Thread.java:1012)
09-19 20:14:59.004  4443  4482 I MESA    : on_vkAllocateMemory: has alloc flags
09-19 20:14:59.004  4443  4482 I MESA    : allocateCoherentMemory: has alloc flags
09-19 20:14:59.004  1473  2099 E MDD     : DownloadProgressMonitor: Can't find file group for uri: android://com.google.android.googlequicksearchbox/files/datadownload/shared/public/datadownloadfile_1789848850448
09-19 20:14:59.005  3794  3846 I BugleRcsEngine: handleMessage processing message:[NOTIFY_UPTIME_IGNORE_STATE_CHANGED] with [non-null]:RcsEngineImpl reference [CONTEXT log_prefix="RcsEngineImpl[DUAL_REG]:[0d72efba-d3bc]>Handler" thread_id=74 ]
09-19 20:14:59.006  4443  4482 I GGUFNativeStderr: load_tensors: offloading output layer to GPU
09-19 20:14:59.006  4443  4482 I GGUFNativeStderr: load_tensors: offloading 29 repeating layers to GPU
09-19 20:14:59.006  4443  4482 I GGUFNativeStderr: load_tensors: offloaded 31/31 layers to GPU
09-19 20:14:59.006  4443  4482 I GGUFNativeStderr: load_tensors:      Vulkan0 model buffer size =    98.87 MiB
09-19 20:14:59.007  1473  1700 E MDD     : DownloadProgressMonitor: Can't find file group for uri: android://com.google.android.googlequicksearchbox/files/datadownload/shared/public/datadownloadfile_1789848850456
09-19 20:14:59.013  1473  2091 D t       : Starting download: https://www.gstatic.com/assistant/appintegration/models/1/662c5aa4617258c027708e2bb9323ead.binarypb
09-19 20:14:59.013  1473  2091 V t       : Is http uri, downloading (uri: https://www.gstatic.com/assistant/appintegration/models/1/662c5aa4617258c027708e2bb9323ead.binarypb)
09-19 20:14:59.016  3794  3846 I BugleRcsEngine: No RCS Configuration was found in Bugle for simID: redacted-pii:sim_id[chars:20,last3:897] [CONTEXT log_prefix="ProvisioningEngineDataRetriever" thread_id=74 ]
09-19 20:14:59.021  1186  1769 I ChimeraSrvcProxy: NullBinder for android.net.action.RECOMMEND_NETWORKS triggering remote TransactionTooLargeException due to Service without Chimera impl
09-19 20:14:59.021  1186  1769 W .gms.persistent: Large reply transaction of 1056768 bytes, interface descriptor , code 1
09-19 20:14:59.021  1557  4187 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:14:59.022  1557  4187 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:14:59.023  1557  4181 I SyncIntentOperation: Handling the intent: Intent { act=com.google.android.gms.phenotype.COMMITTED pkg=com.google.android.gms cmp=com.google.android.gms/.chimera.GmsIntentOperationService (has extras) }. [CONTEXT service_id=80 ]
09-19 20:14:59.024  1557  4199 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:14:59.024  1557  4199 I MdiSyncModule: flag handling is skipping irrelevant intent.
09-19 20:14:59.024  1557  4199 I MlBenchmarkInstaller: Intent: com.google.android.gms.phenotype.COMMITTED [CONTEXT service_id=340 ]
09-19 20:14:59.024  1557  4199 I MlBenchmarkInstaller: COMMITTED Extra package name: com.google.android.mainline.release [CONTEXT service_id=340 ]
09-19 20:14:59.025  1557  4186 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:14:59.025  1557  4186 I GmsSyncPolicyEngine: Periodic sync 1 disabled by policy, cancelled.
09-19 20:14:59.025  1557  4186 I GmsSyncPolicyEngine: Periodic sync 2 disabled by policy, cancelled.
09-19 20:14:59.026  1557  4186 I GmsSyncPolicyEngine: Periodic sync 3 disabled by policy, cancelled.
09-19 20:14:59.026  1557  2780 I LocationHistory: [IntentOperation] Handling action com.google.android.gms.phenotype.COMMITTED [CONTEXT service_id=314 ]
09-19 20:14:59.026  1473  2099 D t       : Starting download: https://www.gstatic.com/assistant/appintegration/models/1/05a8f7c516a3ad6c26cc4161a3dd6ac6.binarypb
09-19 20:14:59.026  1473  2099 V t       : Is http uri, downloading (uri: https://www.gstatic.com/assistant/appintegration/models/1/05a8f7c516a3ad6c26cc4161a3dd6ac6.binarypb)
09-19 20:14:59.028  1186  3946 W PlatformConfigurator: Update for unknown DeviceConfig package com.google.android.mainline.release [CONTEXT service_id=204 ]
09-19 20:14:59.028  1186  3946 W PlatformConfigurator: daaf: No package exists for config package: com.google.android.mainline.release
09-19 20:14:59.028  1186  3946 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.b(:com.google.android.gms@242335041@24.23.35 (190800-646585959):233)
09-19 20:14:59.028  1186  3946 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.a(:com.google.android.gms@242335041@24.23.35 (190800-646585959):29)
09-19 20:14:59.028  1186  3946 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):207)
09-19 20:14:59.028  1186  3946 W PlatformConfigurator: 	at com.google.android.chimera.IntentOperation.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):2)
09-19 20:14:59.028  1186  3946 W PlatformConfigurator: 	at ajom.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):8)
09-19 20:14:59.028  1186  3946 W PlatformConfigurator: 	at pkf.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):70)
09-19 20:14:59.028  1186  3946 W PlatformConfigurator: 	at pke.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):152)
09-19 20:14:59.028  1186  3946 W PlatformConfigurator: 	at emsz.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):21)
09-19 20:14:59.028  1186  3946 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
09-19 20:14:59.028  1186  3946 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:644)
09-19 20:14:59.028  1186  3946 W PlatformConfigurator: 	at java.lang.Thread.run(Thread.java:1012)
09-19 20:14:59.033  1186  4277 I PTCommittedOperation: Receive new configuration for com.google.android.mainline.release
09-19 20:14:59.042  1473  3589 W MDD     : No download stage experiment ids found even though experiment info is set.
09-19 20:14:59.050  1186  4194 W CCTFlatFileLogStore: Excessive logging: 2 events, 109492 bytes from log source PHENOTYPE last 0s
09-19 20:14:59.050  1473  2091 E MDD     : DownloadProgressMonitor: Can't find file group for uri: android://com.google.android.googlequicksearchbox/files/datadownload/shared/public/datadownloadfile_1789848850446
09-19 20:14:59.054  1473  1700 D t       : Starting download: https://dl.google.com/assistant/nga/1/4bce3720332aff95260f75ee29bbe97bd379e868.mddz
09-19 20:14:59.054  1473  1700 V t       : Is http uri, downloading (uri: https://dl.google.com/assistant/nga/1/4bce3720332aff95260f75ee29bbe97bd379e868.mddz)
09-19 20:14:59.055   560  1997 W IPCThreadState: Sending oneway calls to frozen process.
09-19 20:14:59.056  1473  2099 E MDD     : DownloadProgressMonitor: Can't find file group for uri: android://com.google.android.googlequicksearchbox/files/datadownload/shared/public/datadownloadfile_1789848850447
09-19 20:14:59.060  1557  4187 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:14:59.063  1557  4199 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:14:59.063  1557  4182 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:14:59.063  1557  4182 I SyncIntentOperation: Handling the intent: Intent { act=com.google.android.gms.phenotype.COMMITTED pkg=com.google.android.gms cmp=com.google.android.gms/.chimera.GmsIntentOperationService (has extras) }. [CONTEXT service_id=80 ]
09-19 20:14:59.063  1557  4162 I MdiSyncModule: flag handling is skipping irrelevant intent.
09-19 20:14:59.064  1557  4162 I MlBenchmarkInstaller: Intent: com.google.android.gms.phenotype.COMMITTED [CONTEXT service_id=340 ]
09-19 20:14:59.064  1557  4162 I MlBenchmarkInstaller: COMMITTED Extra package name: com.google.android.gms.instantapps [CONTEXT service_id=340 ]
09-19 20:14:59.064  1557  4123 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:14:59.064  1557  4123 I GmsSyncPolicyEngine: Periodic sync 1 disabled by policy, cancelled.
09-19 20:14:59.064  1557  4123 I GmsSyncPolicyEngine: Periodic sync 2 disabled by policy, cancelled.
09-19 20:14:59.064  1557  4123 I GmsSyncPolicyEngine: Periodic sync 3 disabled by policy, cancelled.
09-19 20:14:59.065  1557  2780 I LocationHistory: [IntentOperation] Handling action com.google.android.gms.phenotype.COMMITTED [CONTEXT service_id=314 ]
09-19 20:14:59.074  1186  4273 W PlatformConfigurator: Update for unknown DeviceConfig package com.google.android.gms.instantapps [CONTEXT service_id=204 ]
09-19 20:14:59.074  1186  4273 W PlatformConfigurator: daaf: No package exists for config package: com.google.android.gms.instantapps
09-19 20:14:59.074  1186  4273 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.b(:com.google.android.gms@242335041@24.23.35 (190800-646585959):233)
09-19 20:14:59.074  1186  4273 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.a(:com.google.android.gms@242335041@24.23.35 (190800-646585959):29)
09-19 20:14:59.074  1186  4273 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):207)
09-19 20:14:59.074  1186  4273 W PlatformConfigurator: 	at com.google.android.chimera.IntentOperation.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):2)
09-19 20:14:59.074  1186  4273 W PlatformConfigurator: 	at ajom.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):8)
09-19 20:14:59.074  1186  4273 W PlatformConfigurator: 	at pkf.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):70)
09-19 20:14:59.074  1186  4273 W PlatformConfigurator: 	at pke.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):152)
09-19 20:14:59.074  1186  4273 W PlatformConfigurator: 	at emsz.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):21)
09-19 20:14:59.074  1186  4273 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
09-19 20:14:59.074  1186  4273 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:644)
09-19 20:14:59.074  1186  4273 W PlatformConfigurator: 	at java.lang.Thread.run(Thread.java:1012)
09-19 20:14:59.074  1186  4125 I PTCommittedOperation: Receive new configuration for com.google.android.gms.instantapps
09-19 20:14:59.076  1186  3946 W PlatformConfigurator: Update for unknown DeviceConfig package com.google.android.libraries.spot#com.google.android.gms [CONTEXT service_id=204 ]
09-19 20:14:59.076  1186  3946 W PlatformConfigurator: daaf: No package exists for config package: com.google.android.libraries.spot#com.google.android.gms
09-19 20:14:59.076  1186  3946 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.b(:com.google.android.gms@242335041@24.23.35 (190800-646585959):233)
09-19 20:14:59.076  1186  3946 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.a(:com.google.android.gms@242335041@24.23.35 (190800-646585959):29)
09-19 20:14:59.076  1186  3946 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):207)
09-19 20:14:59.076  1186  3946 W PlatformConfigurator: 	at com.google.android.chimera.IntentOperation.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):2)
09-19 20:14:59.076  1186  3946 W PlatformConfigurator: 	at ajom.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):8)
09-19 20:14:59.076  1186  3946 W PlatformConfigurator: 	at pkf.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):70)
09-19 20:14:59.076  1186  3946 W PlatformConfigurator: 	at pke.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):152)
09-19 20:14:59.076  1186  3946 W PlatformConfigurator: 	at emsz.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):21)
09-19 20:14:59.076  1186  3946 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
09-19 20:14:59.076  1186  3946 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:644)
09-19 20:14:59.076  1186  3946 W PlatformConfigurator: 	at java.lang.Thread.run(Thread.java:1012)
