44128, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.852  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1262]: n_dims = 1, name = a.blk.8.attn_k.input_min, tensor_size=4, offset=2973644160, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1388]: n_dims = 1, name = v.blk.0.attn_q.output_max, tensor_size=4, offset=3066806688, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1389]: n_dims = 1, name = v.blk.0.attn_q.output_min, tensor_size=4, offset=3066806720, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1390]: n_dims = 1, name = v.blk.0.attn_v.input_max, tensor_size=4, offset=3066806752, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1391]: n_dims = 1, name = v.blk.0.attn_v.input_min, tensor_size=4, offset=3066806784, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1392]: n_dims = 2, name = v.blk.0.attn_v.weight, tensor_size=1179648, offset=3066806816, shape:[768, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1393]: n_dims = 1, name = v.blk.0.attn_v.output_max, tensor_size=4, offset=3067986464, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1394]: n_dims = 1, name = v.blk.0.attn_v.output_min, tensor_size=4, offset=3067986496, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1395]: n_dims = 1, name = v.blk.1.ln1.weight, tensor_size=3072, offset=3067986528, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1396]: n_dims = 1, name = v.blk.1.ffn_down.input_max, tensor_size=4, offset=3067989600, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1397]: n_dims = 1, name = v.blk.1.ffn_down.input_min, tensor_size=4, offset=3067989632, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1398]: n_dims = 2, name = v.blk.1.ffn_down.weight, tensor_size=4718592, offset=3067989664, shape:[3072, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1399]: n_dims = 1, name = v.blk.1.ffn_down.output_max, tensor_size=4, offset=3072708256, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1400]: n_dims = 1, name = v.blk.1.ffn_down.output_min, tensor_size=4, offset=3072708288, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1401]: n_dims = 1, name = v.blk.1.ffn_gate.input_max, tensor_size=4, offset=3072708320, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1402]: n_dims = 1, name = v.blk.1.ffn_gate.input_min, tensor_size=4, offset=3072708352, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1403]: n_dims = 2, name = v.blk.1.ffn_gate.weight, tensor_size=4718592, offset=3072708384, shape:[768, 3072, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1404]: n_dims = 1, name = v.blk.1.ffn_gate.output_max, tensor_size=4, offset=3077426976, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1405]: n_dims = 1, name = v.blk.1.ffn_gate.output_min, tensor_size=4, offset=3077427008, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1406]: n_dims = 1, name = v.blk.1.ffn_up.input_max, tensor_size=4, offset=3077427040, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1407]: n_dims = 1, name = v.blk.1.ffn_up.input_min, tensor_size=4, offset=3077427072, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1408]: n_dims = 2, name = v.blk.1.ffn_up.weight, tensor_size=4718592, offset=3077427104, shape:[768, 3072, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1409]: n_dims = 1, name = v.blk.1.ffn_up.output_max, tensor_size=4, offset=3082145696, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1410]: n_dims = 1, name = v.blk.1.ffn_up.output_min, tensor_size=4, offset=3082145728, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1411]: n_dims = 1, name = v.blk.1.attn_post_norm.weight, tensor_size=3072, offset=3082145760, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1412]: n_dims = 1, name = v.blk.1.ffn_post_norm.weight, tensor_size=3072, offset=3082148832, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1413]: n_dims = 1, name = v.blk.1.ln2.weight, tensor_size=3072, offset=3082151904, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1414]: n_dims = 1, name = v.blk.1.attn_k_norm.weight, tensor_size=256, offset=3082154976, shape:[64, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1415]: n_dims = 1, name = v.blk.1.attn_k.input_max, tensor_size=4, offset=3082155232, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1416]: n_dims = 1, name = v.blk.1.attn_k.input_min, tensor_size=4, offset=3082155264, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1417]: n_dims = 2, name = v.blk.1.attn_k.weight, tensor_size=1179648, offset=3082155296, shape:[768, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1418]: n_dims = 1, name = v.blk.1.attn_k.output_max, tensor_size=4, offset=3083334944, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1419]: n_dims = 1, name = v.blk.1.attn_k.output_min, tensor_size=4, offset=3083334976, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1420]: n_dims = 1, name = v.blk.1.attn_out.input_max, tensor_size=4, offset=3083335008, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1421]: n_dims = 1, name = v.blk.1.attn_out.input_min, tensor_size=4, offset=3083335040, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1422]: n_dims = 2, name = v.blk.1.attn_out.weight, tensor_size=1179648, offset=3083335072, shape:[768, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1423]: n_dims = 1, name = v.blk.1.attn_out.output_max, tensor_size=4, offset=3084514720, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1424]: n_dims = 1, name = v.blk.1.attn_out.output_min, tensor_size=4, offset=3084514752, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1425]: n_dims = 1, name = v.blk.1.attn_q_norm.weight, tensor_size=256, offset=3084514784, shape:[64, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1426]: n_dims = 1, name = v.blk.1.attn_q.input_max, tensor_size=4, offset=3084515040, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1427]: n_dims = 1, name = v.blk.1.attn_q.input_min, tensor_size=4, offset=3084515072, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1428]: n_dims = 2, name = v.blk.1.attn_q.weight, tensor_size=1179648, offset=3084515104, shape:[768, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1429]: n_dims = 1, name = v.blk.1.attn_q.output_max, tensor_size=4, offset=3085694752, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1430]: n_dims = 1, name = v.blk.1.attn_q.output_min, tensor_size=4, offset=3085694784, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1431]: n_dims = 1, name = v.blk.1.attn_v.input_max, tensor_size=4, offset=3085694816, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1432]: n_dims = 1, name = v.blk.1.attn_v.input_min, tensor_size=4, offset=3085694848, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1433]: n_dims = 2, name = v.blk.1.attn_v.weight, tensor_size=1179648, offset=3085694880, shape:[768, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1434]: n_dims = 1, name = v.blk.1.attn_v.output_max, tensor_size=4, offset=3086874528, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1435]: n_dims = 1, name = v.blk.1.attn_v.output_min, tensor_size=4, offset=3086874560, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1436]: n_dims = 1, name = v.blk.10.ln1.weight, tensor_size=3072, offset=3086874592, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1437]: n_dims = 1, name = v.blk.10.ffn_down.input_max, tensor_size=4, offset=3086877664, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1438]: n_dims = 1, name = v.blk.10.ffn_down.input_min, tensor_size=4, offset=3086877696, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1439]: n_dims = 2, name = v.blk.10.ffn_down.weight, tensor_size=4718592, offset=3086877728, shape:[3072, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1440]: n_dims = 1, name = v.blk.10.ffn_down.output_max, tensor_size=4, offset=3091596320, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1441]: n_dims = 1, name = v.blk.10.ffn_down.output_min, tensor_size=4, offset=3091596352, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1442]: n_dims = 1, name = v.blk.10.ffn_gate.input_max, tensor_size=4, offset=3091596384, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1443]: n_dims = 1, name = v.blk.10.ffn_gate.input_min, tensor_size=4, offset=3091596416, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1444]: n_dims = 2, name = v.blk.10.ffn_gate.weight, tensor_size=4718592, offset=3091596448, shape:[768, 3072, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1445]: n_dims = 1, name = v.blk.10.ffn_gate.output_max, tensor_size=4, offset=3096315040, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1446]: n_dims = 1, name = v.blk.10.ffn_gate.output_min, tensor_size=4, offset=3096315072, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1447]: n_dims = 1, name = v.blk.10.ffn_up.input_max, tensor_size=4, offset=3096315104, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1448]: n_dims = 1, name = v.blk.10.ffn_up.input_min, tensor_size=4, offset=3096315136, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1449]: n_dims = 2, name = v.blk.10.ffn_up.weight, tensor_size=4718592, offset=3096315168, shape:[768, 3072, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1450]: n_dims = 1, name = v.blk.10.ffn_up.output_max, tensor_size=4, offset=3101033760, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1451]: n_dims = 1, name = v.blk.10.ffn_up.output_min, tensor_size=4, offset=3101033792, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1452]: n_dims = 1, name = v.blk.10.attn_post_norm.weight, tensor_size=3072, offset=3101033824, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1453]: n_dims = 1, name = v.blk.10.ffn_post_norm.weight, tensor_size=3072, offset=3101036896, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1454]: n_dims = 1, name = v.blk.10.ln2.weight, tensor_size=3072, offset=3101039968, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1455]: n_dims = 1, name = v.blk.10.attn_k_norm.weight, tensor_size=256, offset=3101043040, shape:[64, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1456]: n_dims = 1, name = v.blk.10.attn_k.input_max, tensor_size=4, offset=3101043296, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1457]: n_dims = 1, name = v.blk.10.attn_k.input_min, tensor_size=4, offset=3101043328, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1458]: n_dims = 2, name = v.blk.10.attn_k.weight, tensor_size=1179648, offset=3101043360, shape:[768, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1459]: n_dims = 1, name = v.blk.10.attn_k.output_max, tensor_size=4, offset=3102223008, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1460]: n_dims = 1, name = v.blk.10.attn_k.output_min, tensor_size=4, offset=3102223040, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1461]: n_dims = 1, name = v.blk.10.attn_out.input_max, tensor_size=4, offset=3102223072, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1462]: n_dims = 1, name = v.blk.10.attn_out.input_min, tensor_size=4, offset=3102223104, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1463]: n_dims = 2, name = v.blk.10.attn_out.weight, tensor_size=1179648, offset=3102223136, shape:[768, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1464]: n_dims = 1, name = v.blk.10.attn_out.output_max, tensor_size=4, offset=3103402784, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1465]: n_dims = 1, name = v.blk.10.attn_out.output_min, tensor_size=4, offset=3103402816, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1466]: n_dims = 1, name = v.blk.10.attn_q_norm.weight, tensor_size=256, offset=3103402848, shape:[64, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1467]: n_dims = 1, name = v.blk.10.attn_q.input_max, tensor_size=4, offset=3103403104, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1468]: n_dims = 1, name = v.blk.10.attn_q.input_min, tensor_size=4, offset=3103403136, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1469]: n_dims = 2, name = v.blk.10.attn_q.weight, tensor_size=1179648, offset=3103403168, shape:[768, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1470]: n_dims = 1, name = v.blk.10.attn_q.output_max, tensor_size=4, offset=3104582816, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1471]: n_dims = 1, name = v.blk.10.attn_q.output_min, tensor_size=4, offset=3104582848, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1472]: n_dims = 1, name = v.blk.10.attn_v.input_max, tensor_size=4, offset=3104582880, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1473]: n_dims = 1, name = v.blk.10.attn_v.input_min, tensor_size=4, offset=3104582912, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1474]: n_dims = 2, name = v.blk.10.attn_v.weight, tensor_size=1179648, offset=3104582944, shape:[768, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1475]: n_dims = 1, name = v.blk.10.attn_v.output_max, tensor_size=4, offset=3105762592, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1476]: n_dims = 1, name = v.blk.10.attn_v.output_min, tensor_size=4, offset=3105762624, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1477]: n_dims = 1, name = v.blk.11.ln1.weight, tensor_size=3072, offset=3105762656, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1478]: n_dims = 1, name = v.blk.11.ffn_down.input_max, tensor_size=4, offset=3105765728, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1479]: n_dims = 1, name = v.blk.11.ffn_down.input_min, tensor_size=4, offset=3105765760, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1480]: n_dims = 2, name = v.blk.11.ffn_down.weight, tensor_size=4718592, offset=3105765792, shape:[3072, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1481]: n_dims = 1, name = v.blk.11.ffn_down.output_max, tensor_size=4, offset=3110484384, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1482]: n_dims = 1, name = v.blk.11.ffn_down.output_min, tensor_size=4, offset=3110484416, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1483]: n_dims = 1, name = v.blk.11.ffn_gate.input_max, tensor_size=4, offset=3110484448, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1484]: n_dims = 1, name = v.blk.11.ffn_gate.input_min, tensor_size=4, offset=3110484480, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1485]: n_dims = 2, name = v.blk.11.ffn_gate.weight, tensor_size=4718592, offset=3110484512, shape:[768, 3072, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1486]: n_dims = 1, name = v.blk.11.ffn_gate.output_max, tensor_size=4, offset=3115203104, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1487]: n_dims = 1, name = v.blk.11.ffn_gate.output_min, tensor_size=4, offset=3115203136, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1488]: n_dims = 1, name = v.blk.11.ffn_up.input_max, tensor_size=4, offset=3115203168, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1489]: n_dims = 1, name = v.blk.11.ffn_up.input_min, tensor_size=4, offset=3115203200, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1490]: n_dims = 2, name = v.blk.11.ffn_up.weight, tensor_size=4718592, offset=3115203232, shape:[768, 3072, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1491]: n_dims = 1, name = v.blk.11.ffn_up.output_max, tensor_size=4, offset=3119921824, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1492]: n_dims = 1, name = v.blk.11.ffn_up.output_min, tensor_size=4, offset=3119921856, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1493]: n_dims = 1, name = v.blk.11.attn_post_norm.weight, tensor_size=3072, offset=3119921888, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1494]: n_dims = 1, name = v.blk.11.ffn_post_norm.weight, tensor_size=3072, offset=3119924960, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1495]: n_dims = 1, name = v.blk.11.ln2.weight, tensor_size=3072, offset=3119928032, shape:[768, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1496]: n_dims = 1, name = v.blk.11.attn_k_norm.weight, tensor_size=256, offset=3119931104, shape:[64, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1497]: n_dims = 1, name = v.blk.11.attn_k.input_max, tensor_size=4, offset=3119931360, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1498]: n_dims = 1, name = v.blk.11.attn_k.input_min, tensor_size=4, offset=3119931392, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1499]: n_dims = 2, name = v.blk.11.attn_k.weight, tensor_size=1179648, offset=3119931424, shape:[768, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1500]: n_dims = 1, name = v.blk.11.attn_k.output_max, tensor_size=4, offset=3121111072, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1501]: n_dims = 1, name = v.blk.11.attn_k.output_min, tensor_size=4, offset=3121111104, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1502]: n_dims = 1, name = v.blk.11.attn_out.input_max, tensor_size=4, offset=3121111136, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1503]: n_dims = 1, name = v.blk.11.attn_out.input_min, tensor_size=4, offset=3121111168, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1504]: n_dims = 2, name = v.blk.11.attn_out.weight, tensor_size=1179648, offset=3121111200, shape:[768, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1505]: n_dims = 1, name = v.blk.11.attn_out.output_max, tensor_size=4, offset=3122290848, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1506]: n_dims = 1, name = v.blk.11.attn_out.output_min, tensor_size=4, offset=3122290880, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1507]: n_dims = 1, name = v.blk.11.attn_q_norm.weight, tensor_size=256, offset=3122290912, shape:[64, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1508]: n_dims = 1, name = v.blk.11.attn_q.input_max, tensor_size=4, offset=3122291168, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1509]: n_dims = 1, name = v.blk.11.attn_q.input_min, tensor_size=4, offset=3122291200, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1510]: n_dims = 2, name = v.blk.11.attn_q.weight, tensor_size=1179648, offset=3122291232, shape:[768, 768, 1, 1], type = f16
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1511]: n_dims = 1, name = v.blk.11.attn_q.output_max, tensor_size=4, offset=3123470880, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1512]: n_dims = 1, name = v.blk.11.attn_q.output_min, tensor_size=4, offset=3123470912, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1513]: n_dims = 1, name = v.blk.11.attn_v.input_max, tensor_size=4, offset=3123470944, shape:[1, 1, 1, 1], type = f32
09-15 15:39:17.854  6418  6506 I GGUFNativeStderr: clip_model_loader: tensor[1514]: n_dims = 1, name = v.blk.11.attn_v.input_min, tensor_size=4, offset=3123470976, shape:[1, 1, 1, 1], type = f32
