 5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.8.attn_v.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.attn_norm.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.17.attn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.attn_qkv.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.attn_q.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.17.attn_q.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.attn_k.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.17.attn_k.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.attn_v.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.17.attn_v.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.attn_q.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.attn_k.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.attn_v.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.attn_output.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.17.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.attn_output.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.ffn_norm.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.17.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.ffn_gate.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.17.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.ffn_down.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.17.ffn_down.weight (0 MiB q4_K) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.ffn_up.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.17.ffn_up.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.ffn_gate.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.ffn_down.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.17.ffn_up.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.attn_norm.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.18.attn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.attn_qkv.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.attn_q.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.18.attn_q.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.attn_k.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.18.attn_k.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.attn_v.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.18.attn_v.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.attn_q.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.attn_k.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.attn_v.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.attn_output.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.18.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.attn_output.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.ffn_norm.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.18.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.ffn_gate.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.18.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.ffn_down.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.18.ffn_down.weight (0 MiB q4_K) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.ffn_up.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.18.ffn_up.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.ffn_gate.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.ffn_down.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.18.ffn_up.bias
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.attn_norm.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.19.attn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.attn_qkv.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.attn_q.weight
09-16 23:36:37.394  5708  5780 I GGUFNativeStderr: tensor blk.19.attn_q.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.attn_k.weight
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: tensor blk.19.attn_k.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.attn_v.weight
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: tensor blk.19.attn_v.weight (0 MiB q8_0) buffer type overridden to Vulkan0
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.attn_q.bias
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.attn_k.bias
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.attn_v.bias
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.attn_output.weight
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: tensor blk.19.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.attn_output.bias
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.ffn_norm.weight
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: tensor blk.19.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.ffn_gate.weight
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: tensor blk.19.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.ffn_down.weight
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: tensor blk.19.ffn_down.weight (0 MiB q6_K) buffer type overridden to Vulkan0
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.ffn_up.weight
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: tensor blk.19.ffn_up.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.ffn_gate.bias
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.ffn_down.bias
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.19.ffn_up.bias
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.20.attn_norm.weight
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: tensor blk.20.attn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.20.attn_qkv.weight
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.20.attn_q.weight
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: tensor blk.20.attn_q.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.395  5708  5780 I GGUFNativeStderr: tensor blk.20.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.20.attn_output.bias
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.20.ffn_norm.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: tensor blk.20.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.20.ffn_gate.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: tensor blk.20.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.20.ffn_down.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: tensor blk.20.ffn_down.weight (0 MiB q4_K) buffer type overridden to Vulkan0
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.20.ffn_up.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: tensor blk.20.ffn_up.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.20.ffn_gate.bias
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.20.ffn_down.bias
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.20.ffn_up.bias
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_norm.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: tensor blk.21.attn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_qkv.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_q.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: tensor blk.21.attn_q.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_k.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: tensor blk.21.attn_k.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_v.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: tensor blk.21.attn_v.weight (0 MiB q8_0) buffer type overridden to Vulkan0
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_q.bias
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_k.bias
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_v.bias
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_output.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: tensor blk.21.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.attn_output.bias
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_norm.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: tensor blk.21.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_gate.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: tensor blk.21.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_down.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: tensor blk.21.ffn_down.weight (0 MiB q6_K) buffer type overridden to Vulkan0
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_up.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: tensor blk.21.ffn_up.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_gate.bias
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_down.bias
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.21.ffn_up.bias
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_norm.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: tensor blk.22.attn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_qkv.weight
09-16 23:36:37.396  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_q.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.22.attn_q.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_k.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.22.attn_k.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_v.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.22.attn_v.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_q.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_k.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_v.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_output.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.22.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.attn_output.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.ffn_norm.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.22.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.ffn_gate.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.22.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.ffn_down.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.22.ffn_down.weight (0 MiB q4_K) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.ffn_up.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.22.ffn_up.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.ffn_gate.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.ffn_down.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.22.ffn_up.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_norm.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.23.attn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_qkv.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_q.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.23.attn_q.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_k.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.23.attn_k.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_v.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.23.attn_v.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_q.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_k.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_v.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_output.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.23.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.attn_output.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.ffn_norm.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.23.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.ffn_gate.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.23.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.ffn_down.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.23.ffn_down.weight (0 MiB q4_K) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.ffn_up.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.23.ffn_up.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.ffn_gate.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.ffn_down.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.23.ffn_up.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_norm.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.24.attn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_qkv.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_q.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.24.attn_q.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_k.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.24.attn_k.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_v.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.24.attn_v.weight (0 MiB q8_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_q.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_k.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_v.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_output.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.24.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.attn_output.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.ffn_norm.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.24.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.ffn_gate.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.24.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.ffn_down.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.24.ffn_down.weight (0 MiB q6_K) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.ffn_up.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.24.ffn_up.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.ffn_gate.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.ffn_down.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.24.ffn_up.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_norm.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.25.attn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_qkv.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_q.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.25.attn_q.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_k.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.25.attn_k.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_v.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.25.attn_v.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_q.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_k.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_v.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_output.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.25.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.25.attn_output.bias
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.25.ffn_norm.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.25.ffn_norm.weight (0 MiB f32) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor rope_freqs.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.25.ffn_gate.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.25.ffn_gate.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.25.ffn_down.weight
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: tensor blk.25.ffn_down.weight (0 MiB q4_K) buffer type overridden to Vulkan0
09-16 23:36:37.397  5708  5780 I GGUFNativeStderr: create_tensor: loading tensor blk.25.ffn_up.weight
